"<empty_1>","Word","Example","Class"
154,"Intensity","to describe anything done with flair and enthusiasm.",2
155,"flirt","Givin' sexpot gestures to that fine ass mo fo in the pimpin fits.",2
156,"B.A.F","acronym; stands for Bored As F--k",2
157,"dissed","1. dissing someone is showing disrespect to them ;; 2. being dissed is the act of being disconnected, by voice or by modem, from another party",2
158,"Disco","1.A discotheque. ;; 2.a.Music. Popular dance music characterized by strong repetitive bass rhythms. b.A style of dancing done especially to disco music.",2
159,"spifarific","most excellent",2
160,"fantabulous","a level above fabulous",2
161,"super-de-duper","1 hella cool ;; 2 really good ;; 3 the shit ;; 4 whoop ass",2
162,"prophylactic","a condom, rubber, jimmy hat, etc.",2
163,"guh","to be used in replacement of 'uhhh'",2
164,"piscicles","frozen urine.",2
165,"BOJ","B* On Jock ;; when a girl's hella got the hots for a guy.",2
166,"FIIK","fuck if I know",2
167,"Yen","1.A strong desire or inclination; a yearning or craving ;; 2.A basic unit of currency in Japan",2
168,"tank","1. 1988 Dodge Caravan, that is always spotless, coolest ride in the valley. ;; 2. total babe magnet. ;; 3. 'alternate' means of transportation ;; 4.'last' means of transportaion ;; 5. unable to hit 80 mph if dropped out of a plane",2
169,"GTFOH","abbreviation for 'Get The Fuck Over Here!'",2
170,"yea","1. form of expsressing joy ;; 2. cool expresion ;; 3. doyou really need to ask?",2
171,"shag","the state that my hair is in when it hasn't been cut in a long time ;; a tangle of hair ;; thick, rough rug",2
172,"nincompoop","a silly, no brain, fool",2
173,"googlie","Being smitten by a girl but not having the balls to tell her.",2
174,"Mint Medley","Anything that causes immense joy.",2
175,"Real Women","Real Women put up with real men. ;; i did. i have to put up with way too many real men.",2
176,"iced-out","Laced wit' diamonds. (or) A drink that's been allowed to sit too long and has become diluted. Popularized by E-40.",2
177,"what-what?","Playa greeting--'cos with real ballers, they always know what's -up-.",2
178,"heezi","syn.: hook",2
179,"peezi","syn.: piece, meaning place.",2
180,"fasheezi","syn.: for sure, meaning, no doubt can be had.",2
181,"wiggle","it can mean anything ;; it's been used to refer to sex. but you can really use it to mean anything.",2
182,"wthn","abbrevation for 'why the hell not?'",2
183,"sexiled","you get sexiled when your roommate asks or forces you to leave your room, because s/he wants some intimacy with his/her S.O.",2
184,"h2h","'heart to heart' ;; spill your guts to a friend during a heart to heart conversation ;; actually the person doesn't even have to be a friend. go have a h2h with some random person on the street.",2
185,"school","when you're playing pool, if you play someone who's way better than you are and they whoop your ass, you have been schooled.",2
186,"harlot","hoochie mama. KES",2
187,"bj","commonly mistaken for another abbreviation, it is in all actuality short for 'bottomless juice'",2
188,"time","Enjoyed when its your own and often wasted by other people.",2
189,"zone","a zone is an ounce",2
190,"on deck","if you're on deck, you're prepared for a transaction",2
191,"Fully Cooked","to be all good; a positive occurance; a great movie; not raw; cool.",2
192,"funkadelic","Of or pertaining to a condition less than satisfactory; commmonly used to describe the condition of ancient remnants of food found at the very back of the refrigerator. Origin unknown, first used by neanderthals to describe aged venison.",2
193,"Yuppie Food Stamps","The ubiquitous $20 bills spewed out of ATMs everywhere. Often used when trying to split the bill after a meal.",2
194,"boujouix","this means: bootsy, ass, butt, First used by Pete B from the CUF. I t came from the Sacramento Underground.",2
195,"wai","cantonese way of answering the phone",2
196,"la","cantonese exclamation which can be added after every single sentence",2
197,"inhtsa","1.I'm Not Here To Say Anything ;; acronym for specific situations that you might not want to venture your opinion to someone ;; 2. safe answer to most questions ;; 3. easy way to aviod answering a question",2
198,"LP","on the down low ;; low profile",2
199,"thrapetic","thrapetic. adj. 1. tragically pathetic.",2
200,"pathragic","pathragic. adj. 1. pathetically tragic. 2. sorrowfully tragic. ;; Origins: the twistedly incomprehensible and decidedly unique mind of Brena Andrews. ;; First Known Users: Brena Andrews & Robin Huffer. c.2000A.D.",2
201,"craptacular","craptacular. adj. 1. an extremely sarcastic description of an undesireable object, state, or predicament.",2
202,"tap a kidney","take a piss",2
203,"squishy scale","measures quantity of squish, also known as squishy factor ;; normal squishy scales are drawn from 1 to 10, with 1 being least squishy and 10 being the most squishy.",2
204,"FUF","fucked up female. girl with issues",2
205,"drink potatoes","drink vodka",2
206,"burp-fart","aiming a burp at a specific person. ;; that's a good one, that's a good definition.",2
207,"big V","a member of the Virgin Club",2
208,"20","location or current status/activity",2
209,"FUG","Fucked up guy.",2
210,"OOC","out-of-commission, used in conjunction w/ BOK",2
211,"pinch a loaf","take a dump",2
212,"jump my bones","get it on",2
213,"to get fresh with","The flirtatious grabbing of the knee (or any other body part) to necessitate a 'friendly' reaction from a female.",2
214,"o'dark hundred","they use it in the military ;; o'dark hundred are the hours before the sun comes up",2
215,"East Jesus","way the fuck out there",2
216,"rip a new a--hole","refers to what a badass motherfucker will do to you",2
217,"all aces","the best -- it can't possibly get any better than all aces.",2
218,"HOTS","HOTS: Acronym for Hoe On Tha Sack, found in Psych 101 texts nationwide.",2
219,"SNAGG","acronym for Scared N----- Against Getting Got, from Tash's album...'Rap Life'",2
220,"unfadeable","Not able to be faded. That which is sublime, above rational comparison.",2
221,"legit","for real, truthful",2
222,"big time","in the pro series. professional, big, mondo, ipmressive ;; they used this one at church too",2
223,"jeepin'","vehicular sex ;; he first used it to describe his first date.",2
224,"horse cock","lunch meat that is shaped in a big round circle",2
225,"tail","tail! it's the opposite of head, and synonymous with 'ass'",2
226,"wodie","'friend or partner' ... used by Juvenile from Cash Money Records",2
227,"Triple- F A","abbr. for 'freestylin fun-for-all'",2
228,"to have maps on one's shirt","it means, basically, that someone sucks. my friend carrie jean first used it!",2
229,"BFN","butt fuck nowhere",2
230,"beef","something that's difficult to deal with",2
231,"BOK","bitch out crew",2
232,"beef","To add bullshit to a final product so that it appears bulkier and filled with content.",2
233,"aightee","affirmed! here's your confirmation. when someone says aightee, it's like they closed the deal - here's how it is, we work it out, I agree, you have my word",2
234,"punk-a-saurus","a person who is a punk. (used as a joke)",2
235,"haitskoo","A term used to express extreme hatred for learning institutions.",2
236,"history","a male-biased, sexist term used very often by Aaron",2
237,"Asaf","(n) lazy bird, whiney beast, cranky bug and ocasional alpha monkey.",2
238,"misspelt","The bad, ugly and otherwise deprecated spelling of 'misspelled.'",2
239,"deprecated","Outdated; use strongly discouraged.",2
240,"404","(v.i.) Out to lunch; not having it together; acting in a stupid way. Typically derogatory. ;; [Derivation: the '404: Not Found' error encountered when surfing the web.]",2
241,"edgies","the edge melty part of a container of ice cream",2
242,"oodee","the Urban Dictionary! you're probably there right now.",2
243,"dilly","syn. daily, on a daily basis",2
244,"check","from czechoslovakia",2
245,"25/8","ALL THE TIME! more than humanly possible",2
246,"riff-raff","a boy that does not take a shower or shave everyday and only does it when his girlfriend complains of scratchiness",2
247,"achey-fakey","when someone pretends to do or be something",2
248,"theatre geek","a theatre major that thinks she/he is better than everyone else who isn't a theatre major",2
249,"It's hot like Jamaica!","1. When something is cool. ;; 2. When it's really hot.",2
250,"drumsteer","Attempting to play percussion instruments and steer at the same time. Can be a derisive comment or a fun pastime, depending on the context.",2
251,"deep sex","A Freudian slipped synonym to the phrase 'deep six'. (Ballism)",2
252,"bizznatch","a mild curse word you can use towards a friend because it is not that offensive, actually it's kinda affectionate",2
253,"scratchies","the unshaven hair on your face, esp. annoying to a b-f or a g-f.",2
254,"ruttin'","synonym for 'sexin'.' used in To Kill A Mockingbird. sometimes 'ruttin' on' someone",2
255,"Gross Domestic Product","an estimate of the market value of all final goods and services newly produced in the formal economy",2
256,"PEBCAK","Problem Exists Between Chair And Keyboard",2
257,"BFD","acronym: Big Fuckin' Deal. use sarcastically",2
258,"zoom out","look at the bigger picture. a wider perspective is needed - it's currently too narrow",2
259,"cack","'Cock' with a Boston accent. Popularized by Matt Damon in the movie Good Will Hunting. Not to be confused with a male chicken.",2
260,"money shot","moment of male climax in a pornographic film.",2
261,"strike","to walk really raelly really fast; in a hurry on foot",2
262,"oodee","a completely new reference for modern English, covering the essential vocabulary of everyday life.",2
263,"sorbet porn","soft, soft, soft-core pornography",2
264,"clams","dollas. dolla bills y'all.",2
265,"the curse","a woman's period",2
266,"shamrock","it's an irish penis",2
267,"high-tailin","movin along real fast - struttin' it",2
268,"BFD","Live 105's annual concert.",2
269,"lingam","a reproductive organs of a male",2
270,"yoni","the female reproductive organ. a man has a [lingam], a woman has a yoni.",2
271,"mwagala","In Luganda the word mwagala could mean: I love her, I need her, I want her, I admire her, I like her, I want to see her, I'm relating with her, I'm close to her, I have sex with her, I'm attracted to her, I care about her, I'm interested in her, I have feelings for her.",2
272,"rooted","v. past: To have your computer compromised; to have an attacker gain unauthorized root access.",2
273,"wind in your leg","a joint ache or an ache in the noodle. a chinese superstition. arthritis. juvenile. also a symptom of your menstrual cycle",2
274,"ish","n. Shit; a parent-approved version of the aforementioned cus word.",2
275,"walk of shame","drunk girls' shuffle",2
276,"on the level","completely honest and above-board. givin' it to you straight, with no exceptions. straight talk. like a true brother.",2
277,"pine","to really really want something or somebody. see synonyms at [mwagala].",2
278,"hurt","when someone looks funny - they're seriously unattractive - like they have to try to look attractive",2
279,"Dip Shit","1. One who cannot drive ;; 2. One who is lame ;; 3. One who is or does something stupid",2
280,"craptacular","",2
281,"Are you on crack?","Directed to someone who is acting out of control or acts like they are on drugs",2
282,"Hit up","1. To go somewhere ;; 2. To get something from someone",2
283,"units","your parental 'units', your parents",2
284,"Gaff","To take from",2
285,"brilliant","An outstanding performance, concept, or product",2
286,"Hoopdashit","A piece of shit car",2
287,"Good people","Used to describe people who are good",2
288,"Pile of bricks","Used to describe someone's house, not necassarily in a bad way",2
289,"Hot as balls","To describe the weather",2
290,"Bitch switch","When a female is in a bad mood",2
291,"doofus","One who behaves in an irrational or immature manner",2
292,"me-time","A euphemism for masturbation",2
293,"choneys","undergarments - specifically underwear. 'choneys' is supposedly spanish for underwear.",2
294,"dumpster diving","looking through someone's trash to find something of interest. one man's trash is another man's treasure!",2
295,"boxing","searching for boxes to put your [S] in. often done late at night just before packing to move. may involve [dumpster diving].",2
296,"baloney","a meat that is good for eating. also a synonym for bullshit",2
297,"dig it","I undertand what you're saying -- we are [on the level].",2
298,"Reach Around","Loveline term used to describe mutually rewarding sexual experience whereby the deliverer of services approaches the recipient from behind by slowly placing his or her hand on the recipients sensitive pubic area",2
299,"Fully Cooked","meal or entree that has been on the stove long enough to render the hapless occupant of the pan totally motionless and probably dead",2
300,"slide","term used to describe the act of making out, preferably while under the influence at a party or the after-party (or the hotel lobby). this term is ALSO a reference to the penguin that says 'slide' in Fight Club, which somehow relates it to the penguin in Billy Madison.",2
301,"slide","a style of slip on sandals worn by females",2
302,"wacka wacka","expression used to refer to a sexual act, especially when you want to be ambiguous. it can refer to anything that is more than getting your [slide] on up until, and including, having sexual intercourse.",2
303,"whateves","a noncommital, noncholant answer to practically any question, expressing no particular preference to anything in particular, usually accompanied with a shrug of the shoulders",2
304,"sacto","the town that desperate davis college boys go to for sexual fulfillment",2
305,"Nottie","an unattractive girl who hangs out with a group of Hotties at a party, whose job is it to make sure her friends do not hook up and leave her at the end of the night. she will put down every joke that a male tries to use on her hot friend and will publicly point out every oddity in his appearance.",2
306,"take one for the team","an act where one brave soul in your group of male friends hits on the [Nottie] of a group of hotties so his friends can get their [slide] on later on that night. taking one for the team usually involves just talking to the nottie and laughing at her jokes and complimenting her (horrid) appearance, but it may be necessary to appease the nottie by getting your wacka wacka on with her...back at her place of course, so your roomates never see her.",2
307,"Ricockulous","word used by Adam Corolla to describe something that is beyond riDICKulous",2
308,"Sellout","to go against everything you stand for for money or women or any other forms of property (he he, jk ladies).",2
309,"devirginizer","n. basically a guy who goes out of his way to be the first to invade a girl's cave of pleasure and/or fecal extraction tunnel",2
310,"Sloppy Grandma","n. someone who always has to run to the restroom; or someone who uses your restroom and then proceeds to crap uncontrollably all over the floors, tub, sink, hand towels, etc.",2
311,"Umpa Lumpa","n. short, fat girls who wear too much make-up and/or dark, dark orange sunless tanner",2
312,"Idioteque","The act of suddenly going into a crazy, seizure like state. refers to how thom from radiohead acts during the performance of idioteque.",2
313,"mouthasized","the act of having oral sex performed on something.",2
314,"tenacious","Just read the sentence.",2
315,"Da Shits","When one can't stop shitting",2
316,"Fuck on","To have sex",2
317,"bleavage","the line in the male anatomy that lies just above the hips and seperates muscular abs from the top of the thighs.",2
318,"nasdawg","someone who is ungroomed; someone whose demeanor is sexually suggestive",2
319,"sick ass","gross or otherwise wrong",2
320,"Bippy-Twat","The people you see in front of cofee houses talking on their phones, acting like pretentious idiots, talking like 'valley people'",2
321,"Scam","To make-out 'hardcore'",2
322,"dropping V","going down on a girl.",2
323,"chillaxin","A mixture of Chillin' and Relaxin'.",2
324,"nummy","A contented yummy. After all the food has been 'yummied'",2
325,"Cutty","shady or sketchy",2
326,"wiggedy-wiggedy-whacked","A humorous way of saying [whacked].",2
327,"fungry","Fuckin' hungry.",2
328,"large","a thousand dollars - they say it all the time in the Sopranos",2
329,"sketch","a term used to describe a situation, a person, a store, a restuarant, an item, basically any noun, that is of dubious character",2
330,"MPSI","(M)enorahs (P)er (S)quare (I)nch",2
331,"serpentile","An equivalent of 'serpentine.'",2
332,"Flip a Bitch","When driving, this is to indicate that you must make a 'U-Turn'.",2
333,"Duce","Indicating a measurement of 200 pounds.",2
334,"POS","piece of shit",2
335,"DPOC","Danish Piece of Crap",2
336,"moofie face","The face a person makes when they're lying",2
337,"Snap!","Cool!",2
338,"home space","the area or place you live, or where you come from",2
339,"sick","Adjective. ;; Interesting, cool, new.",2
340,"chop it up","to have a conversation. ;; to catch up with someone you haven't spoken to in a long time.",2
341,"mofo","1. (abbr.) mother-fucker ;; 2. (n.) One who is [hard-core]",2
342,"ass","1. (n.) glutimus-maximus ;; 2. (suff.) Used to form the comparative degree of adjectives: tight-ass; bad-ass; crazy-ass",2
343,"berburder","(interj.) expression used to convey a sense of confusion, frustration, and or resignment.",2
344,"boondocks","(n.) a remote or inaccessible area. usually used in conjunction with the article 'the'. ;; [From the tagalog word 'bundok', meaning 'mountain ']",2
345,"off the hook","synonym for busy - and not in the sense of 'unavailable,' but rather 'sustaining much activity.'",2
346,"bad times","An antonym of [good times].",2
347,"ret","Ready",2
348,"suck a duck","something that is just plain stupid",2
349,"crib","humble abode",2
350,"pad","place of living....",2
351,"good deal","Synonymous with [good times].",2
352,"maintaining","1. (v.) to be of sound mind; to have a situation under control.",2
353,"trifling","1. (adj.) Describing a situation, person, or event that is pathetic.",2
354,"kludge","Bad code that works but is barely readable, overly complex and unmaintainable.",2
355,"boo","Adj. to feel sad or unhappy, N. a sad or unhappy person, Intj. a statement of unhappiness",2
356,"AIM","AOL Instant Messenger. It's really not all that hot, but a lot of people use it... they have sort of a monopoly.",2
357,"luser","N. A clueless user. A very derogatory term.",2
358,"AGP","Accelerated Graphics Port ;; <hardware> (AGP) A bus specification by Intel which gives low-cost 3D graphics cards faster access to main memory on personal computers than the usual PCI bus. ;; AGP dynamically allocates the PC's normal RAM to store the screen image and to support texture mapping, z-buffering and alpha blending. ;; Intel has built AGP into a chipset for its Pentium II microprocessor. AGP cards are slightly longer than a PCI card. ;; AGP operates at 66 MHz, doubled to 133 MHz, compared with PCI's 33 Mhz. AGP allows for efficient use of frame buffer memory, thereby helping 2D graphics performance as well. ;; AGP provides a coherent memory management design which allows scattered data in system memory to be read in rapid bursts. AGP reduces the overall cost of creating high-end graphics subsystems by using existing system memory.",2
359,"substract","What certain cpe 215 professors say in place of subtract",2
360,"trappa","God Lovin' Christian Dude",2
361,"pudchizzer","person who bites their finger nails too much",2
362,"Hot Diggity Dank","Something an excited stoner says",2
363,"freak-out","to go on a brigade through norm-town and lay the freak on the norms",2
364,"schlep","To carry, bring or otherwise transmit something which is difficult to move.",2
365,"bootsy","(adj.) unfair, uncool, or 'ungood'",2
366,"Clean The House","A phrase used by a certain Dr. Saghri to describe the process of turning bits to 0's in a register",2
367,"ghetto","1. (n.) an impoverished, neglected, or otherwise disadvantaged residential area of a city, usually troubled by a disproportionately large amount of crime ;; 2. (adj.) urban; of or relating to (inner) city life ;; 3. (adj.) poor; of or relating to the poor life ;; 4. (adj.) jury-rigged, improvised, or home-made (usually with extremely cheap or sub-standard components), yet still deserving of an odd sense of respect from ghetto dwellers and non-ghetto dwellers alike",2
368,"moded","Getting put in place",2
369,"coolness","when the something is really, really cool it approaches coolness",2
370,"Scrimp","Synonymous with shrimp.",2
371,"Buzzing The Tower","When a fly keeps flying around your head",2
372,"Divy","A precise operation in a merge sort algorithm",2
373,"relationship porn","Entertainment which has very little substance other than talk about sex. Gratuitous nudity is also often a feature of said porn, however it is almost-always off-camera.",2
374,"Mistake Daily","An common second name for the Cal Poly daily newspaper",2
375,"Fugly","shorter word for 'fucking ugly'",2
376,"squeeze","To hit on someone, often someone who's a few years younger than you are.",2
377,"slump","to kill",2
378,"penix","An operating system, such at unix...but different.",2
379,"fucked","1. [Broken]. ;; 2. Worn out. ;; 3. In trouble.",2
380,"rooted","1. [Broken] or [fucked]. ;; 2. Tired.",2
381,"whacked","Something that functions very differently than expected",2
382,"vampirela","woman of less than pure virtue",2
383,"tab","1. Tablet (usually a drug) - [extasy][MDMA][trips]",2
384,"Dislexus","1. A [penix]. ;; 2. A silly fellow.",2
385,"Lickity","To sexually gratify with a table tennis bat.",2
386,"Dislexus","of disreputable qualities",2
387,"cust","its like a mixture between 'cunt' and 'crust'",2
388,"tab","Cola flavoured soft drink, orderable by keyboard",2
389,"broken","1. Not in full working order. ;; 2. [fucked] [rooted] ;; 3. Mentally unfit - Usually from emotional scars left by ex's.",2
390,"whack","Akin to [wank].",2
391,"wank","1. To masturbate - wank. ;; 2. [Bullshit]",2
392,"whacked","When something is [farout] or [crazy].",2
393,"bullshit","1. Faecies from a cow/bull. ;; 2. Something that isnt right/tue/fair etc.",2
394,"bork","Irreversibly damaged.",2
395,"pr0n","Another word for pornography",2
396,"backshot","1.The partaking of sexual intercourse from the behind ;; 2.To take it up the ass",2
397,"Vanish!","'Begone!' ;; 'Leave my sight immediately!'",2
398,"mush","Int. 'Leave my seat!' ;; From the sled dog command to start moving.",2
399,"samich","Alternate pronunciation of 'sandwich'.",2
400,"plur","Peace Love Unity Respect ;; (Often used in the rave community) ;; also see [lame].",2
401,"lame","often used to describe how [fucked] or [stupid] something/someone is. ;; also see [lamer][lewser][dickhead][idiot][asl]",2
402,"punani","Female genetals. ;; Also see [AliG] [Poontang] [pussy].",2
403,"Pfft","1. An expression of dismissal of another's comment. ;; 2. The sound of a silent and deadly rectal emission.",2
404,"ugmo","Abbreviation for ugly motherfucker used to describe a person or object.",2
