,Title,Text,Class
92,bestmomever,My mom ....the one that gives you weed to smoke the one that pays for your broke ass to party the one that lies to your dad for you to get away with murder the one that always knows how to make you feel better and get you out of trouble ,1
94,beunte,"A 'bent ' ( pronounced bwen-tay ) is a slang term for a [spliff ] , [joint ] , or [jazz fag] , a roll-up cigarette with marijuana added to taste . This term originated in the north-west of Italy , in a region named aorta valley . Its exact conception is unknown , though popular opinion dictates that it was derived from the Italian word 'but ' , or ox . people native to the region would smoke the tail hair of their catch in order to achieve a sensation said to be reminiscent of a marijuana cigarette . The term now is popular in the York , Liverpool and Nottingham areas of the UK, where its use is prevent throughout the youth of the cities . ",1
111,binladen,Strain of marijuana . Usually light Christmas tree color of green with ( possibly ) some crystals or lite white frost effect to it . origins are actually from Canada ! ,1
119,blackandmild,A Middleton company plastic filtered cigar commonly referred to as [blacks ] used to obtain a head rush or to boost your high after smoking a blunt or marijuana in simplistic terms . Me and my boys refer to black and miles as [whiteheads ] or [tips ] because of the white plastic tips . Detroit my nigga ! ! ! ,1
120,blackandwild,A [black and mild ] which is modified slightly so that it contains tasty tobacco from the black as well as weed to deliver a two in one punch that will leave you wanting more . This is done by twisting the [black ] to empty about half of the cigar and replace it with grass . This method can be used by rolling matures or rookies to provide perfect form in a [blunt ] ,1
126,blackshoe,"It is a code word for marijuana . Not very popular at the time , but many believe it is the new word . The word of power , the word people will use in the years to come . ",1
129,blarched,"To be blanched is to be high , usually on marijuana . To be stoned , blazed , and completely fucked up . the state of euphoria one feels after smoking joints , fat-ass blunts , or toking bongs . ",1
131,blasien,1)used to describe anything and everything : :in place of a certain word to make it sound more appealing ; ; 2)a form of sexual position ; ; 3)often used as slang for weed aka ' Mary Jane ' ,1
133,blayzar,Name given to a Mexican who smokes large quantities of [marijuana ] on a daily basis . ,1
142,bleazy,"A blunt containing marijuana ; ; aka reefer , mary Jane , herb,cannabis , weed ,chronic ",1
159,blitty,"( v ) : the state of being [roasted ] ; that is , the state of being intoxicated from smoking an abundance of [marijuana](also known as the bionic , the bomb , the puff , the blow , the black , the herb , the sense , the chronic , the sweet Mary Jane , the shit , ganja , split , reef , the bad , the Buddha , the homegrown , the ill , the maui-maui , the method , pot , lethal turbo , tie , shake , skunk , stress , wacky , weed , glaze , the boot , dime bag , scoop dew , bob , bogey , back yard boogie ) . ",1
161,blizul,"Philly blunt ( sometimes bible paper ) rolled up with contents of marijuana ( type : swag , mid grade , nugz , some laced shit ) that gets u fuuuuucked up . ",1
166,bloach,N;the burnt remains of a marijuana cigar . N ; the roach from a blunt . Plural blotches . ,1
185,blufftonblunt,"A bluff ton blunt , hailing from the town of bluff ton , south Carolina , is nationally renown for being the worst of all blunts , in both quality of the marijuana in them , and of the craftsmanship with which it was rolled . ",1
195,blurple,"A cross strain of marijuana that mixes blueberry and grand daddy purple . Very smooth purple flavor with smoke that leaves a blueberry smell in the air . Leaves of the plant are an iridescent bluish purple color , hence the name purple . ",1
196,bluzzed,A broad level of highness recognized by marijuana smokers . buzzed refers to the area between [buzzed ] and [blazed ] . buzzed was originally used by an amazing pimp . ,1
200,bobhope,Fictional metro-boston slang for marijuana . First appeared in print in the seminal infinite jest by David foster Wallace . ,1
215,bonehigh,"A marijuana high characterized by intense euphoria , laughter , and apparent 'drunkenness . Named for Thomas t-bone onions . Usually occurring at the age of 14 . ",1
218,bongmonkey,"Any primate who is a frequent user of marijuana (usually confined to chimps or bonobos because of the intelligence required to operate a water pipe ) can become a bong monkey . Traditionally , a bong monkey is initiated into marijuana usage by a human user of the drug , and twosome unite as constant companions . The bong monkey usually serves as a type of 'helper monkey , ' with the monkey acting as caretaker of the pipe- packing the bong with the dried buds and leaves of the marijuana plant , replacing the water when it becomes foul and cleaning the pipe . However , there have been cases of bong monkeys continuing to use the drug after severing their relationship with their human friends . Bong monkeys are very protective of their bongs . ; ; human stoners find kinship in the relaxed approach to life common in many apes who spend their days sleeping , feasting and copulating in fruit-bearing trees . Bong monkeys do n't judge their human friends ' lethargic habits . Some bong monkeys have been known to play video games and provide cogent analysis of tool lyrics . ",1
223,boodah,"A slightly halucinagic substance (aka the sticker ickey ) green , and sometimes red or purplish if it 's good , in color . It gives a euphoric feeling and sometimes makes you wanna . Other names are marijuana , Mary Jane , the funk , bud ...and the list goes on and on for us pot heads . ",1
233,boosh,"A large crude weed smoking device used in modern Britain where-by you get a bucket full of water and a 2 liter coke bottle with the bottom cut off , put some foil on the top and pull gently causing the smoke to fill the bottle . Once creamed you take the foil off and inhale the smoke causing you to get high . ",1
259,briznu,"A word for marijuana . Developed in the late '90 's by a couple of guys from San Diego . The word started as 'chronic ' and was changed to 'ironic ' because of some rap influence . The word then changed to 'frizzy ' because snoop dog was huge then ( for sizzle my nizzle-type stuff ) . the word was then shortened to 'brig ' or 'the brig ' . Then , in an inspirational moment of intoxication , the word became 'bring ' because it was fun to say . Other forms such as 'grind ' , 'shine ' , and 'the frizz ' are acceptable . ",1
261,brodown,"Verb - to get wit ( in a non-sexual way ) . ; ; to hang one-on-one with someone , burn copies amounts of weed , do pills , homemade drugs , abuse chemicals found at most Walmart and listen to jay z ( for effect ) . ",1
262,brofam,"A family of bros . You know the type , because it seems every neighborhood has one of these families . Usually it starts with the huge 20-foot trailer they park in front of your house , forcing you to have to park in front of your neighbors house , making them mad as well . ; ; another characteristic is the perpetually unkempt front lawn , long and full of weeds because they only mow it once every 1000 years , or they just let it turn brown and die , turning it into the neighborhood eyesore . Not to mention all the soda bottles , cans , candy wrappers , toys , and all manner of junk left on the lawn by the bro kids . ; ; speaking of the kids , these uncivil bros-in-training always seem to be on an unending mission of riding their motorbikes and quads at high speeds through the neighborhood streets with little regard , making it dangerous to impossible for other kids to simply play out in the street without getting hit by these little monsters . Not to mention the noise they make speeding their way through the street , usually while you are taking a nap or trying to enjoy dinner . ; ; then we got the bro far pets , dogs , often vicious , that bark incessantly all night long , driving you to near-insanity from lack of sleep. But nobody ever complains or contacts authorities on the bro far because of fear of retaliation . ; ; basically the neighborhood bro far makes life on your street hell ! ",1
263,brookline,"A town next to Boston that is known for its liberal , stupid kids who are sheltered and know nothing about the world . Everyone smokes weed , and complained about bush being in office ",1
265,buahna,"A nicely packed spliff . Can also refer to a bag of buds ( weed ) . Pronounced a bit like iguana but minus the and the g and replace with a 'b . In short , it can also be called a brain , still pronounced kind of the same but more like iguana without the , g and an-(at the end of the word ) . ",1
274,bucketbong,"Needed : ; ; 1 x bucket ; ; 1 x [cone piece ] ; ; 1 x bottle ( preferably a 2l cordial or 2l soda bottle ) ; ; copious amounts of [marijuana ] ; ; water ; ; 1 x lighter ; ; cut a hole in the lid to fit the [cone piece ] , pack the [cone piece ] with [marijuana ] , set aside . ; ; fill bucket with water . Cut bottom of bottle out . Submerge bottle in water . Screw lid back on . light the [pot ] and slowly move the bottle in an upward direction . This will pull the [cone ] . Once the cone is pulled and the smoke is in the bottle , carefully take the lid off and ensure to not let too much smoke out of the top of the bottle . Put mouth around bottle top and push down . The smoke will then be forced into your lungs . ",1
282,buddhawhistle,"Another name for a [bowl ] , or pipe used to smoke marijuana . The whistle is a passage to enlightenment or just gets you blazed as a motherfucker . ",1
302,burnabridge,Burn a bridge is a slang term for Let 's go smoke some weed . ; ; can also say [burn one ] ,1
306,burntout,"The state of mind that follows the 2-4 hour [stoned ] period . It usually only occurs after smoking a great quantity of weed . A burn out can last a long time - typically 7 to 12 hours after coming down from the high . The burnt out state of mind is characterized by an intense exhaustion , the inability to focus , a general mental dullness , the slight slurring of words , and a sensory numbness . ; ; being burnt out and being stoned are two very different feelings . While the 'high ' state typically involves a distorted perception of time , an acuity of senses , minor paranoia , and the tendency to stare , the burnt out state has none of these qualities . ; ; also known as a weed-over . ",1
309,bustskills,"To smoke marijuana in either [singer ] , [sent ] , or [blunt ] form . ( go ahead , give it a thumbs down . You 'll be using it before you know it . ) ",1
313,cakeday,When you and all your mates rock over to someone 's house and make a big off cake with half an ounce of weed in it . ,1
338,capguy,"A type of person -- typically but not always in cap -- who exaggerates in order to boost self-esteem . Cap guys suffer from too weed and alcohol in their lives . And attempt to compensate by being annoying , ( see dip shit ) , they swear that they are really funny , but it turns out they 're really not , trust me . ; ; and although most cap guys will occasionally make us laugh , they often cross the line of being funny to being racist and never seem to notice , but it does n't actually matter because there are only like 10 minorities in cap anyway . ; ; most cap guys own at least one item from American eagle outfitters and have been known to pop their collars . They do n't date outside of cap , and become all moody when the girl of their dreams sees them as 'just a friend'--and to that we say get over it . ; ; although most cap guys have some redeeming qualities , there are a few who we will see in 10 years , still living in their parent 's basement , smoking copious amount of weed and still trying to decipher jams Joyce . ",1
343,carpetmix,"Weed crumbs salvaged from the floor of one 's room in a last-ditch effort to gather enough for a joint . ; ; invariably contains hairs , carpet fibers , food crumbs , and other assorted surprises . ",1
348,casualonepape,"When your already a little high and are n't in the mood to have a full out session you simply roll up a 'casual one paper ' . It 's rolled quickly and just enough to get the job done and can be dubbed as your contemplating a plan , waiting for someone , or even while walking to your car . The joint would generally have less than .5 of weed and would of course need to be rolled using a single zigzag/Rizal paper . ",1
349,casualtiesofwar,The casualties of war are the crumbled bits of [weed ] leftover on the tray after one rolls a [blunt ] or [joint ] . ; ; casualties are traditionally gathered into a small pile and loaded into a [bong ] or [bowl ] . ; ; this term can also refer to the chunks of weed that fall out of the end of the blunt or joint . ,1
357,cedarcresthighschool,"A high school located in Lebanon pa . most of the girls are rich sluts who spend their weekends at the country club with their parents who do n't pay too much attention to them other than to give them money or credit cards . The guys are drunks who spend daddy and mommies money on alcohol and weed . The kids at this school are relatively smart but they are usually hungover or just do n't care because mommy and daddy will fix everything . the girls are pretty nice but very big spoiled brats . the guys are fun but hang with the same crowd . the middle school is worse , this is been the spoiled brats and alcoholics are born . Before middle school , there sweet rich kids , after- their bitches and allies . ",1
391,chillbrah,"A chillbrah is the final , black-hole like phase an otherwise interesting person can fall into . Initial signs of [Brad]-ism are the first signs (usually , hanging out with hairy/lame friends who smoke a lot of weed ) of becoming a chillbrah . Once the [Brad ] infection takes over , a person is still capable of doing awesome things and participating in [adventure]s , but only when not occupied with their Brad friends . ; ; final phases of chillbrah syndrome happen when the chill , loosely translated as the 'fucking boring , ' phase sets in . this is characterized by being less intense , not caring about things , and responding to most questions with 'yeah , it 's / I 'm chill . ' once taken by chillbrah syndrome , a person is lame and hangs out with their boring , lame friends to smoke weed and try to have sex with any moving target with a high blood alcohol level . A chillbrah should not be invited on an [adventure ] or it will become [shitty ] . ; ; though there is no known recovery from becoming a chillbrah , efforts may be taken to prevent a loved one from transitioning into the even more debilitating [chillbrahchill ] . ",1
392,chillia,"Arose in the small town of stanstead during the long , laid back easy summer of 2004 . Phillip was a chilled out towers word to describe everyone favorite herb . [skunk ] [weed ] [draw ] [gear ] [ting ] ",1
396,chinohills,"Upper class suburban city of Los angels California in the IE. everyone either drives an aura , range rover , Mercedes , jaguar , BMW, and if anything else , it 's never older than a year . The moms are all fucking whores who go to Starbucks and order the same shit every day and wouldst be caught dead driving past the Dennis on central or past the was mart on grand , us that goes into chino , and people form chino hills never go into chino . The kids are fucking hooked on weed , coke , or x , but their parents just act like they do n't know when they give their kids money for lunch and instead they make deals in the parking in the back of chino hills high or Ayala . ",1
406,choofbox,"Australian neologism . ; ; a box in which [chief ] ( marijuana ) is stored prior to use . typically , made of metal with a motif of a [marijuana ] leaf or funny picture on the lid . May be used to carry lighters , joints , cigarettes , papers , roaches etc in addition to chief . ; ; also known as a stash box , or stash tin . ",1
428,chrontact-high,"When one is sitting in a room or a car or any other confined space while others are smoking weed , however , said person does not actually take a 'hit ' off the pipe . As a result of being around so much smoke in a confined area one gets high ( see tron , Charon 'd , Charon , or trinitron ) just from being in contact with said cloud of smoke . ",1
434,churchofvoodoopharmacology,"The church of voodoo pharmacology is a popular and global [cult ] which holds the [paranoid ] belief that all scientific studies regarding [illegal drug]s are [liberal ] conspiracies and thus completely false , and that all [illegal drugs ] are without exception [satanic ] , immoral , life-ruining , addictive , and deadly . The actions of this cult are oriented towards demonizing and incarcerating all illegal drug users , and in some cases removing them from the earth in some type of [holocaust ] ( see [rush Limbaugh ] ) . They strongly and unquestionably support the [war on drugs ] . The official term for all those who disagree with them in any way is 'pro-drug . ' ; ; many organizations are involved in this cult , including the [PDF] , [once ] , [DEA] , [UN] , [republicans ] , and various pharmaceutical companies , as well as almost all [fun die ] groups . The cult has no official leadership , but the government and UN share most of the administrative duties . ; ; the cult was founded by harry j . ans linger ( also first head of the DEA ) , who was mainly responsible , through the successful use of [propaganda ] , for the national and subsequently global decriminalization of marijuana ( globally criminalized through u.n . conventions ) . He was well-known for his [racism ] and violent hatred of [jazz ] , as well as his [hypocrisy ] , reversing his position on the effects of marijuana from the claim that it would make you murderous to the claim that it would make you absolutely useless . This led some to conclude that he was [helped up on goofballs ] . Some enlightening quotes from him are below . ",1
435,churchs,Places of prayer . Buds of brown decent with smell of Jamaican weed . ,1
441,cindybin,"A yahoo message board troll . It seeks out any message board discussing marijuana , alcohol or carbohydrate intake . Believes science is faith-based . ",1
445,clamroom,"a chick or woman 's version of the 'man room ' usually a party room of bar stools , booze , beer , weed pipes , twinkly lights , dart board , fridge , stereo and some relaxing chairs . ",1
446,clevelandbrowning,"This is when you end up buying some Cleveland brown . This ; ; happens when somebody you trust got fucked over and ended up ; ; buying some bogus weed . You get a sample of some good shit , ; ; and it only happens when you are in a hurry , such as going away on a trip ,or entertaining some new clients from out of town . You trust them and have a good buzz going , so you do n't check it real well before you leave . When you get to your far off destination or after the club you burn one and all you get is a headache . Your new friends are laughing at you , thinking you are some kind of dumb fuck . Or you are someplace where you have no connections or it could be a big problem trying to score . ; ; when you get back to the shithead , they will try to make ; ; it up by refunding your cash , but by then the damage has already been done . ",1
451,clownshoes,A code word for talking about marijuana in phone conversations or text messages . This usage can be traced back to a conversation about how walking around while stoned can make you feel like you 're wearing clown shoes on your feet . ,1
457,colenso,"colons is the worse high school in Napier , and probably new Zealand . ; ; the students there are either wagging , smoking weed or tobacco in the toilets and having sex in the photography dark room whilst using glad-wrap as a form of birth control . ",1
463,comedyspliff,"A large spliff containing at least 14grams of marijuana made by rolling an a4 sheet of card into a cone rolling it in paper and filling the empty cone up . this needs 4 roaches , 2up 2down ",1
472,coromandelpeninsula,"A beautiful twig of land in new Zealand . Has built up a huge reputation concerning artists , hippies , communes , and a lot of marijuana chucked in . also known as 'the dope capital of new Zealand ' , ( i have heard people refer to Napier as this too but really - no . Napier just-just-does n't compare .*shakes head reminiscently*)it is famed for its long history of producing some very good quality marijuana . The THC content ( delta-9-tetrahydrocannabinol )of coromandel cannabis is rumored at being higher than anywhere else in NZ. ; ; geographically it is compiled of a volcanic , forest-clad range , fringed with stunning ivory ( beach )es and flaming pohutukawas . There are several towns along the coastline , but these are nothing special , except for perhaps coromandel township . Thames is a hole to the highest order , and unfortunately enough , is also the gateway to the peninsula . If you 're coming to coromandel , then do n't let Thames put you off . It gets 's better the further north you go . it 's only bad quality is the plethora of j.a.f.as that swamp it around the summer months . however , an off-season visit ensures you miss these unsavory saprophytes . ",1
478,couch'd,"To be completely worthless on a couch , bed , floor act ; unable to move ; drained of energy or effectiveness ; extremely tired ; completely exhausted due to the consumption/smoking of marijuana . ; ; mostly caused by the excessive use of fatty blunts , bong rips , fatty joints ' act . ",1
479,counter-terrorist,1)to be bad ass or to own everyone . ; ; 2)to smoke a gotta weed . ,1
483,crab-up,"Upon smoking or investing copious amounts of marijuana , the user will become anxious , perhaps having a panic attack , his or her hands and arms will become tingly and start to numb from sheer terror resulting in the effect that the tendons and the capillaries in the hands will contract inwards causing a crab-like appearance to the entertained folk observing the phenomenon . ",1
489,crimsonterror,"A force to be reckoned with , to lose ones mind and only see the color red , beyond help , to be touched by evil and fueled by Satan , a state of mind induced by alcohol and marijuana ",1
508,crossjoint,The intersection of 2 joints perpendicular to one another so that they form a cross with 3 ends that must be lit . As the joint is smoked the reefer smoke forms a bottleneck for the perfect trifecta hit . the best if rolled with weed that smells like 'gods vagina ' . ,1
509,crownprincefrederikofdenmark,"Stumpy loser euro-royal who tried to hang out with snoop dog in Copenhagen and got booted so more chicks would fit in the venue . Tried to bribe his way back into snoop dog 's circle by getting danish security police to release dog 's bag of weed . also , known for meekly following his butch wife , crown princess Mary of Denmark , around shopping centers , shopping for kids clothes . ",1
517,csumb,California state university Montreal bay ; ; (aka CPU marijuana and beer ) ; ; a secret plan by the government to make back money lost on the field military complex 'fort or ' ; ; others believe that it is a plan to see if the former fort or can support life after being subjected to numerous tests by the military . ; ; the best place to waste a perfectly good mind ,1
523,d-mill,"Originated in the [bay area ] the word d-mill describes a person who is high off marijuana and acting like a belligerent conservative , [happy ] , [pothead ] , rich kid but only letting all his feelings be revealed through jokes and other comedic acts . ",1
525,daap,"The purgatory of the greater [Cincinnati] area . ; ; the college of design , art , architecture , and planning at the university of Cincinnati is where all the cool , well-dress , and talented kids in Cincinnati go to school . Students are worked nearly to death , never sleep , and develop some type of addiction before graduation ( weed , alcohol , coke , abuse ) , and somehow miss it when they go on internship quarters . damp students all promptly leave Cincinnati after graduation to live in better cities like [new York ] , [Seattle ] , and [new Orleans ] . ",1
529,dadis,"The word Davis can be used as either an adjective or a noun . It was originally intended to replace the simple phrase 'do this ' . However , as time passed the word was expanded to mean marijuana or any other highly pleasurable substance . In its shortened form DA is another word for friend , buddy , or comrade . If you 're in an extra risky mood or you just want to spice it up a bit you can use divide for enhanced effect . ",1
557,davidbudsky,A code name for [weed ] ; ; you use this to fool anyone who might disapprove of purchasing this plant ; ; the amount you want to buy is in the coded sentence ,1
564,deanth,An underweight bag of [weed ] . Mimics the system whereby an ' [eighth ] ' = 1/8 oz and a '[teeth ] ' = 1/16 oz . in practice a 'death ' will be a bag sold as an 'eighth ' but weighing noticeably less . ; ; named for a dealer who regularly sold such short measures . ,1
585,dietspliff,"The 'healthiest ' type of marijuana joint . Herbal tobacco is used instead of regular cigarette or rolling tobacco , and the skin is rolled [bankroll ] style meaning less paper is inhaled . ; ; diet spliffs are also a good way of fooling yourself into believing that you 're cutting down . ",1
592,dimespot,"A location (typically a corner , or a house ) where a vendor is illegally distributing drugs ( often marijuana , may be other substances ) in ten dollar lots . Usually a signal is required ( a special knock on the door , code words , certain apparel , etc ) by the customer , and the vendor responds anonymously by a covert method of delivering the product ( a drive to another corner , slipping the product under a door , lowering the product from a window , etc ) . ",1
595,dirtbar,"Is like solid which is a solid form of weed resin , crystals and other bits of a marijuana plant . But dirt bar has many other ingredients to make it dirty i .e car tires , petrol , bits of plastic and any other materials that can make it weigh more and also look and bit like a bit of dirt . It gets you high but it is n't too good for you and it is n't da the best high but if you have only got a fiver than its good as its cheap . ",1
607,dobrich,"A city in Bulgaria , known for its drug addicts and the fact that almost everyone living in there smokes marijuana ( although it is banned ) , a sad fact is that there are many so called 'put ' there and it is very hard to find a girl that would actually fuck without asking any questions and wanting a relationship after that . That is why most of the boys in dob rich go to Alhena in the summer and fuck Russian whores . ",1
612,doghash,"Dried dog shit , i .e . what I pass off as marijuana and sell to you when you 're completely wasted . I 'll tell you it 's a special blend from some place exotic like Maui , but it wo n't be . actually , it 'll be the morning plopping of the neighbor 's doberman ( if I can get close enough ! ) . ",1
630,doobcruise,"Getting in an automobile and driving around to smoke marijuana . typically , a joint ( newbie ) or blunt is used so in the unfortunate event that the police stop you , one can toss it out the window or eat it without worry of getting a drug paraphernalia charge . ",1
644,doozehit,"The last hit of marijuana , usually from a [bowl ] , characterized by doubt that one more hit remains , but attempted anyway . ",1
655,douffe,"Anything that is in aid of poking the Tabasco and weed concoction in a joint in order to compact the mix before twisting/sparking the joint . Usually thin , sometimes pins are often useful if there is an 's ' in the skins at the roach end . Best pouffe to my knowledge - those screwdrivers you get in tech deck skate board packs . ",1
666,dragonbawls,"A harmless drug which undergoes the pretense of [weed ] and is just a bunch of cut grass rolled up in paper with two balls of gum , usually trident splash kiwi strawberry . The gum gives it a sweet flavor to make it taste better than just grass . Usually sold among teens in middle school . dragon awl sellers usually have special made gum balls that are orange with yellow stars on them ",1
686,drugdealerstarterkit,"A drug dealer starter kit consists of the following : ; ; a ) 1 ounce of marijuana ; ; b ) 9 plastic sandwich baggies ; ; c ) 5-10 local potheads ; ; d ) 100 to 300 dollars depending on quality and inflation ; ; warnings : ; ; a)beware of self-smokage ; ration supplies ; ; b)never leave a bag open ; it not only dries out the marijuana , but it also leaves it open to those pesky security issues . ",1
688,drunkenhighgungunshoot,A game that involves firing a gun indiscriminately after consuming copious amounts of marijuana and alcohol . ,1
695,dubsack,"1 . Twenty dollars of a drug in a baggie , usually marijuana . ; ; 2. A kick in the testicles . ; ; 3. Testicles . ; ; 4 . In football when a quarterback is sacked twice in a row ; double sack . ",1
704,dulaneyhighschool,A 'blue ribbon ' school where all the students come in high out of their minds . Get expelled for having a oil bit of weed on them and going to rose dale . Where abercrombie and American eagle are the only kinds of clothes that can be worn . Where mike b . is snorting coke in the form of the school in the morning and selling it out of his trunk by night . And Courtney t . and Laura t . are smoking up b 's in the 420 . where life just ca n't get any higher . ,1
714,dutchie,"Referring to a conical shaped joint that includes tobacco and marijuana and includes a small filter . Often rolled from creating a 'l ' shape turned 90 degrees counterclockwise to create a joint of substantial length . Smoked like a cigarette as the tobacco affords a smoothness not typical of straight marijuana joints . Often toked 3-4 times before passing creating a more peaceful smoking atmosphere . The name is derived from , you guessed it , the dutch , whom like most of the same weed smokers in the world have enough sense to mix marijuana and tobacco for added flavor and smoothness . ",1
717,dutchoven,"A large , lidded cast-iron pot with a fold-away , bail handle . Originally , the dutch oven was used as just that , a bread oven . In the days when most families lacked modern stoves , and depended on the fire-place hearth for their cooking , a dutch oven could be filled with bread dough , lidded and buried in hot embers in order to bake the bread . nowadays , the dutch oven is usually placed atop the stove to cook beans and stews , though sometimes it is still used in a conventional oven to cook bread loaves and baked beans . In rare instances , a cast-iron dutch oven can double as a deep-fryer . ; ; in some areas , the dutch oven is referred to as a ' Dutch . ' this is claimed by the surviving members of musical youth as the ' Dutch ' in the lyric : 'pass the Dutch from the left-hand side . ' from their one hit song . It is of course now believed that the word in the song was changed from 'Ruthie , ' a Jamaican slang term for a kind of marijuana . ",1
721,dvd's,"A slang term for the use of marijuana , aka :weed , pot . offered to as 'watching DVD' . This code was made up in the early millennium and is used around school grounds or at home to avoid parents or authority figures aka : police , teachers . To know what they are talking about . ",1
730,eldankuschronicus,An especially potent ( as in knock your shit off ) weed that will keep your high ass on the couch for twelve hours eating munchies and watching peasant vision cause you spent all your money on it . ,1
737,elimilated,"Adjective - to be severely intoxicated , usually on marijuana although alcohol intoxication fits just as well . The word is the result of people in a state of severe intoxication stumbling to say the right word and mashing together 'eliminated ' and 'annihilated ' . Declaring that you have reached this state usually means you will stop consuming drugs and try to get a hold of yourself . ",1
747,enchantedforest,"A plethora of pubic hair madness . A bush can reach enchanted forest status when it begins to travel down the legs and up toward the belly button . The only cures for such a condition includes weed backers , hedge trimmers , chainsaws , napalm , and agent orange . Be warned that the unicorns , grassland gnomes , and other woodland creatures will not take your destruction of their homeland well . ",1
749,enemaofthestate,"Blink-182 's 1999 album , enema of the state . It made fun of the movie enemy of the state , a popular film earlier that year . It contains the songs dump weed , do n't leave me , aliens exist , going away to college , what 's my age again ? , dysentery Gary , Adam 's song , all the small things , the party song , mutt , Wendy clear , and anthem . ",1
755,extremehiking,"When a group of friends go to the nearest wooded area , state parks are fun , smoke some weed , then go wander in the woods for hours until you lie down and laugh like crazy . ",1
757,f.o.d,"A group of rowdy , drug crazed hooligans rep pin the 215 (quakertown , pa ) . The initials f.o.d started when students needed a new code word for marijuana because all other terms had become to widely known , out of this problem the name d*** came into acceptance . ' Friends of d***' ",1
